Year,Rank,"Pos
Rank",Draft_Rank,Player,Round,Pick,Tm,Draft Year,Pos,Age,To,All_Pro,Pro_Bowl,Starter_years,Games_Played,Passing_Comp,Pass_att,Pass_yards,Pass_TD,Pass_Int,Rush_att,Rush_yards,Rush_TD,Rec_rec,Rec_yards,Rec_TD,College/Univ,Total Fantasy Points,Fantasy Points Per Game
2017,1,1,1.01,Leonard Fournette,1.0,4.0,JAX,2017.0,RB,22.0,2023.0,0.0,0.0,5.0,81.0,0.0,2.0,0.0,0.0,1.0,1144.0,4518.0,34.0,312.0,2219.0,7.0,LSU,1073.7,13.255555555555556
2017,2,1,1.02,Corey Davis,1.0,5.0,TEN,2017.0,WR,22.0,2022.0,0.0,0.0,5.0,78.0,0.0,0.0,0.0,0.0,0.0,6.0,55.0,0.0,273.0,3879.0,17.0,Western Michigan,631.9000000000001,8.101282051282052
2017,3,2,1.03,Christian McCaffrey,1.0,8.0,CAR,2017.0,RB,21.0,2023.0,2.0,3.0,4.0,91.0,2.0,4.0,84.0,2.0,0.0,1297.0,6185.0,52.0,509.0,4320.0,29.0,Stanford,1811.4,19.905494505494506
2017,4,3,1.04,Joe Mixon,2.0,48.0,CIN,2017.0,RB,21.0,2023.0,0.0,1.0,4.0,97.0,0.0,0.0,0.0,0.0,0.0,1571.0,6412.0,49.0,283.0,2139.0,13.0,Oklahoma,1368.6000000000001,14.109278350515465
2017,5,4,1.05,Dalvin Cook,2.0,41.0,MIN,2017.0,RB,22.0,2023.0,0.0,4.0,5.0,88.0,0.0,0.0,0.0,0.0,0.0,1349.0,6207.0,47.0,236.0,1872.0,5.0,Florida St.,1237.9,14.067045454545456
2017,6,5,1.06,Alvin Kamara,3.0,67.0,NOR,2017.0,RB,22.0,2023.0,0.0,5.0,4.0,101.0,1.0,1.0,13.0,0.0,0.0,1315.0,5829.0,54.0,505.0,4219.0,23.0,Tennessee,1720.6,17.035643564356434
2017,7,2,1.07,Mike Williams,1.0,7.0,LAC,2017.0,WR,22.0,2023.0,0.0,0.0,4.0,88.0,0.0,0.0,0.0,0.0,0.0,10.0,34.0,1.0,309.0,4806.0,31.0,Clemson,830.5,9.4375
2017,8,6,1.08,Samaje Perine,4.0,114.0,WAS,2017.0,RB,21.0,2023.0,0.0,0.0,1.0,93.0,0.0,0.0,0.0,0.0,0.0,454.0,1830.0,8.0,151.0,1191.0,6.0,Oklahoma,461.6,4.963440860215054
2017,9,7,1.09,Kareem Hunt,3.0,86.0,KAN,2017.0,RB,22.0,2023.0,0.0,1.0,2.0,91.0,0.0,0.0,0.0,0.0,0.0,1030.0,4436.0,40.0,226.0,1890.0,17.0,Toledo,1087.6,11.95164835164835
2017,10,3,1.1,John Ross,1.0,9.0,CIN,2017.0,WR,21.0,2021.0,0.0,0.0,1.0,37.0,0.0,0.0,0.0,0.0,0.0,9.0,41.0,0.0,62.0,957.0,11.0,Washington,196.8,5.31891891891892
2017,11,1,1.11,OJ Howard,1.0,19.0,TAM,2017.0,TE,22.0,2022.0,0.0,0.0,4.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,1882.0,17.0,Alabama,354.70000000000005,4.92638888888889
